X;workerid;proliferate.condition;samediff_mirrornorm;samediff;categories;failed_audio;failed_images;failed_video;internal_node_id;response;rt;sequence_id;same_mirror_normal;stimulus;success;time_elapsed;timeout;trial_index;trial_type;view_history;error;language
11574;23;condition1;D_M;D;J;;;;0.0-6.0-3.57;d;346;3;M;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11575;23;condition1;_;;;;;;0.0-6.0-0.58;;NA;0;;img2/faces/1.jpg;NA;109311;NA;244;image-keyboard-response;;NA;french
11576;23;condition1;_;;;;;;0.0-6.0-1.58;;NA;1;;+;NA;109613;NA;245;html-keyboard-response;;NA;french
11577;23;condition1;_;;;;;;0.0-6.0-2.58;;NA;2;;img2/faces/9.jpg;NA;109822;NA;246;image-keyboard-response;;NA;french
11578;23;condition1;D_T;D;H;;;;0.0-6.0-3.58;d;394;3;T;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11579;23;condition1;_;;;;;;0.0-6.0-0.59;;NA;0;;img2/jap/5.jpg;NA;110423;NA;248;image-keyboard-response;;NA;french
11580;23;condition1;_;;;;;;0.0-6.0-1.59;;NA;1;;+;NA;110727;NA;249;html-keyboard-response;;NA;french
11581;23;condition1;_;;;;;;0.0-6.0-2.59;;NA;2;;img2/jap/5.jpg;NA;110934;NA;250;image-keyboard-response;;NA;french
11582;23;condition1;S_T;S;J;;;;0.0-6.0-3.59;s;426;3;T;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11583;23;condition1;_;;;;;;0.0-6.0-0.60;;NA;0;;img2/french/5.jpg;NA;111566;NA;252;image-keyboard-response;;NA;french
11584;23;condition1;_;;;;;;0.0-6.0-1.60;;NA;1;;+;NA;111870;NA;253;html-keyboard-response;;NA;french
11585;23;condition1;_;;;;;;0.0-6.0-2.60;;NA;2;;img2/Mfrench/5.jpg;NA;112078;NA;254;image-keyboard-response;;NA;french
11586;23;condition1;S_M;S;R;;;;0.0-6.0-3.60;s;570;3;M;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11587;23;condition1;_;;;;;;0.0-6.0-0.61;;NA;0;;img2/tools/3.jpg;NA;112855;NA;256;image-keyboard-response;;NA;french
11588;23;condition1;_;;;;;;0.0-6.0-1.61;;NA;1;;+;NA;113159;NA;257;html-keyboard-response;;NA;french
11589;23;condition1;_;;;;;;0.0-6.0-2.61;;NA;2;;img2/tools/3.jpg;NA;113366;NA;258;image-keyboard-response;;NA;french
11590;23;condition1;S_T;S;O;;;;0.0-6.0-3.61;s;305;3;T;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11591;23;condition1;_;;;;;;0.0-6.0-0.62;;NA;0;;img2/faces/12.jpg;NA;113879;NA;260;image-keyboard-response;;NA;french
11592;23;condition1;_;;;;;;0.0-6.0-1.62;;NA;1;;+;NA;114182;NA;261;html-keyboard-response;;NA;french
11593;23;condition1;_;;;;;;0.0-6.0-2.62;;NA;2;;img2/faces/10.jpg;NA;114391;NA;262;image-keyboard-response;;NA;french
11594;23;condition1;D_T;D;H;;;;0.0-6.0-3.62;d;633;3;T;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11595;23;condition1;_;;;;;;0.0-6.0-0.63;;NA;0;;img2/Mfrench/11.jpg;NA;115231;NA;264;image-keyboard-response;;NA;french
11596;23;condition1;_;;;;;;0.0-6.0-1.63;;NA;1;;+;NA;115534;NA;265;html-keyboard-response;;NA;french
11597;23;condition1;_;;;;;;0.0-6.0-2.63;;NA;2;;img2/Mfrench/13.jpg;NA;115742;NA;266;image-keyboard-response;;NA;french
11598;23;condition1;D_M;D;R;;;;0.0-6.0-3.63;d;429;3;M;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11599;23;condition1;_;;;;;;0.0-6.0-0.64;;NA;0;;img2/jap/2.jpg;NA;116381;NA;268;image-keyboard-response;;NA;french
11600;23;condition1;_;;;;;;0.0-6.0-1.64;;NA;1;;+;NA;116686;NA;269;html-keyboard-response;;NA;french
11601;23;condition1;_;;;;;;0.0-6.0-2.64;;NA;2;;img2/jap/9.jpg;NA;116895;NA;270;image-keyboard-response;;NA;french
11602;23;condition1;D_T;D;J;;;;0.0-6.0-3.64;d;392;3;T;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11603;23;condition1;_;;;;;;0.0-6.0-0.65;;NA;0;;img2/tools/9.jpg;NA;117493;NA;272;image-keyboard-response;;NA;french
11604;23;condition1;_;;;;;;0.0-6.0-1.65;;NA;1;;+;NA;117798;NA;273;html-keyboard-response;;NA;french
11605;23;condition1;_;;;;;;0.0-6.0-2.65;;NA;2;;img2/Mtools/9.jpg;NA;118006;NA;274;image-keyboard-response;;NA;french
